ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
HLLY,US43538H1032,US,2023,H1,2.533333333333333,2.1666666666666665,4.433333333333334,5.903610794131439,1249.642,688.415,833.652,73.774,0,0,1
HLLY,US43538H1032,US,2023,H2,2.4,2.3,2.9,1.5938930130478175,1203.343,659.704,762.192,19.18,0,0,0
HLLY,US43538H1032,US,2024,H1,2.6666666666666665,2.5666666666666664,3.633333333333333,1.5938930130478175,1203.343,659.704,762.192,19.18,0,0,0
HOG,US4128221086,US,2018,H1,6.5,0.02,2.8466666666666662,4.982821510221961,10665.664,5716.875,8891.715,531.451,1,0,0
HOG,US4128221086,US,2018,H2,6.8999999999999995,1.6066666666666667,3.08,4.982821510221961,10665.664,5716.875,8891.715,531.451,1,0,0
HOG,US4128221086,US,2019,H1,6.983333333333333,2.4166666666666665,3.28,4.982821510221961,10665.664,5716.875,8891.715,531.451,1,0,0
HOG,US4128221086,US,2019,H2,6.633333333333333,2.466666666666667,6.75,4.023827907614237,10528.159,5361.789,8724.16,423.635,1,0,1
HOG,US4128221086,US,2020,H1,6.033333333333334,2.533333333333333,6.666666666666667,4.023827907614237,10528.159,5361.789,8724.16,423.635,1,0,1
HOG,US4128221086,US,2020,H2,6.3999999999999995,2.6,0.8333333333333334,0.01080711947720185,12010.601,4054.377,10287.816,1.298,1,0,0
HOG,US4128221086,US,2021,H1,6.599999999999999,2.5333333333333337,5.083333333333333,0.01080711947720185,12010.601,4054.377,10287.816,1.298,1,0,1
HOG,US4128221086,US,2021,H2,6.349999999999999,3.5500000000000003,5.233333333333333,5.88200855031488,11051.055,5336.308,8497.811,650.024,1,1,1
HOG,US4128221086,US,2022,H1,7.099999999999999,4.666666666666667,5.133333333333334,5.88200855031488,11051.055,5336.308,8497.811,650.024,1,1,1
HOG,US4128221086,US,2022,H2,6.766666666666666,6.3,4.658333333333333,6.451246885353513,11492.476,5755.13,8585.668,741.408,1,1,1
HOG,US4128221086,US,2023,H1,7.099999999999999,6.900000000000001,0.05000000000000001,6.451246885353513,11492.476,5755.13,8585.668,741.408,1,1,0
HOG,US4128221086,US,2023,H2,7.099999999999999,6.233333333333333,4.008333333333334,5.820047421229706,12140.554,5836.478,8888.259,706.586,1,1,0
HOG,US4128221086,US,2024,H1,7.099999999999999,6.099999999999999,4.9,5.820047421229706,12140.554,5836.478,8888.259,706.586,1,1,1
HYMTM,US44891AAC18,US,2018,H1,5.900000000000001,1.8999999999999997,3.1999999999999997,,,,,,1,0,0
HYMTR,US44891AAC18,US,2018,H1,5.900000000000001,0.6466666666666666,2.6666666666666665,,,,,,1,0,0
HYMTR,US44891AAC18,US,2018,H2,6.2,0.66,2.6,,,,,,1,0,0
HYMTR,US44891AAD90,US,2018,H2,6.5,1.3,2.3,,,,,,1,0,0
HYMTR,US44891AAD90,US,2019,H1,6.5,1.1666666666666667,2.3,,,,,,1,0,0
HYMTR,US44891AAD90,US,2019,H2,6.55,1.0,2.55,,,,,,1,0,0
HYMTR,US44891ABC09,US,2019,H2,6.7,1.3,2.7,,,,,,1,0,0
HYMTR,US44891ABC09,US,2020,H1,6.7,1.3,2.6,,,,,,1,0,0
HYMTR,US44891ABE64,US,2020,H1,6.7,1.3,2.15,,,,,,1,0,0
HYMTR,US44891ABE64,US,2020,H2,6.6499999999999995,1.8,2.1,,,,,,1,0,0
HYMTR,US44891CBM47,US,2020,H2,6.6,1.9,2.8,,,,,,1,0,0
HYMTR,US44891ABE64,US,2021,H1,6.8,2.2,0.685,,,,,,1,0,0
HYMTR,US44891ABE64,US,2021,H2,3.4683333333333337,2.3,0.01,,,,,,0,0,0
HYMTR,US44891ABE64,US,2022,H1,6.516666666666667,2.283333333333333,1.2,,,,,,1,0,0
HYMTR,US44891ABE64,US,2022,H2,6.599999999999999,2.7000000000000006,1.6166666666666665,,,,,,1,0,0
HYMTR,US44891ABE64,US,2023,H1,6.5,0.03,1.6,,,,,,1,0,0
HYMTR,US44891ABR77,US,2023,H1,6.5,0.03,1.8,,,,,,1,0,0
HYMTR,US44891ABR77,US,2023,H2,6.433333333333334,0.39166666666666666,1.7333333333333334,,,,,,1,0,0
HYMTR,US44891ABR77,US,2024,H1,6.1,2.2,1.7,,,,,,1,0,0
HYMTR,US44891CBY84,US,2024,H1,6.1,2.2,1.7,,,,,,1,0,0
LAZR,US5504241051,US,2021,H2,2.5,5.6,2.2960000000000003,,,,,,0,1,0
LAZR,US5504241051,US,2022,H1,2.5,5.599999999999999,3.7999999999999994,,,,,,0,1,0
LAZR,US5504241051,US,2022,H2,3.25,5.316666666666666,4.5,,,,,,0,1,1
LAZR,US5504241051,US,2023,H1,3.4,5.3,4.5,,,,,,0,1,1
LAZR,US5504241051,US,2023,H2,3.6666666666666665,5.466666666666666,3.2166666666666663,,,,,,0,1,0
LAZR,US5504241051,US,2024,H1,3.7999999999999994,5.5,4.8,,,,,,0,1,1
LCID,US5494981039,US,2022,H1,7.5,0.5640000000000001,3.9300000000000006,-32.730968509003056,7881.713,27.111,3972.358,-2579.761,1,0,0
LCID,US5494981039,US,2022,H2,7.8999999999999995,0.01,4.833333333333333,-16.555661854610815,7879.238,608.181,3529.537,-1304.46,1,0,1
LCID,US5494981039,US,2023,H1,8.1,1.4033333333333333,5.183333333333334,-16.555661854610815,7879.238,608.181,3529.537,-1304.46,1,0,1
